,,,
id,discussion_id,username,messages
3546,01bab677-82ff-44c3-b245-b781b65697a1,architect,"""Hello jonathan, my name is Zaha and I am on the design team of the project."""
3547,01bab677-82ff-44c3-b245-b781b65697a1,architect,"""The Technical University of Munich is planning to build a new architecture school instead of the outdated electrical facility on Theresienstrasse. The building will host the architecture school and the design will be based on the preferences of the students and faculty. That’s why we want to ask you about your ideas for the new building."""
3548,01bab677-82ff-44c3-b245-b781b65697a1,architect,"""Let's discuss the project requirements. What spaces should be in the building?  How can the building have a positive impact on the community and the environment? What should the building look like? What values should the building express?"""
3549,01bab677-82ff-44c3-b245-b781b65697a1,client,"""I think there should be many various sitting and studying places for students, both inside and outside of the building."""
3550,01bab677-82ff-44c3-b245-b781b65697a1,architect,"""That's a great idea! What do you think about the building's appearance?"""
3551,01bab677-82ff-44c3-b245-b781b65697a1,client,"""It should be distinctive but still matching to the surrounding."""
3552,01bab677-82ff-44c3-b245-b781b65697a1,architect,"""That sounds perfect. Is there anything else you would like to add?"""
3553,01bab677-82ff-44c3-b245-b781b65697a1,client,"""It should be clear where the entrance is and if possible, there should be multiple entrances from various sides."""
3554,01bab677-82ff-44c3-b245-b781b65697a1,architect,"""That makes sense. Thank you for your input!"""
,,,
4376,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""Hello jonathan, my name is Zaha and I am on the design team of the project."""
4377,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""The Technical University of Munich is planning to build a new architecture school instead of the outdated electrical facility on Theresienstrasse. The building will host the architecture school and the design will be based on the preferences of the students and faculty. That’s why we want to ask you about your ideas for the new building."""
4378,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""Let's discuss the project requirements. What spaces should be in the building?  How can the building have a positive impact on the community and the environment? What should the building look like? What values should the building express?"""
4379,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""well I think that the spaces should be focused on interaction and collaboration... so the biggest amount of exchange can take place"""
4381,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""Excellent, so you want the spaces in the building to facilitate interaction and collaboration. Do you have any ideas about how we can achieve that?"""
4389,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""well it could be achieved through different methods. One, for example, could be the relationship between public and private spaces - leaning more to the public side. Another method could be through the typology of the floorplan and the construction methods implemented - meaning to have a high degree of \""permeability\"" in the architectural concept """
4390,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""That makes sense. Are there any other values that you feel are important for the building to express?"""
4397,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""yes, the current building, as unsuitable as it might be, represents the heritage of the university.. How do you think that can be taken into account? """
4398,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We can definitely take that into account. Do you have any ideas about how we can do that?"""
4399,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""maybe, however Im interested in your suggestions... what do you suggest in this case?"""
4400,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We could incorporate some of the existing features of the electrical facility into the new design. For example, we could use the same brickwork or include a section of the old building in the new school."""
4403,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""i find that a very correct approach... how did you learn about that?"""
4404,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We studied architecture! (laughs)"""
4405,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""correct again """
4406,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""Are there any other values that you feel are important for the building to express?"""
4407,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""well maybe it is a possibility to experiment about new types of architecture"""
4408,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We could definitely experiment with new types of architecture. Do you have any ideas about what kind of experiments you would like to see?"""
4409,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""where did you learn about architecture?"""
4410,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We studied architecture! (laughs)"""
4413,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""where exatcly?"""
4414,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We studied architecture at the Technical University of Munich."""
4417,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""i see"""
4418,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""Is there anything else you would like to share about your vision for the new building?"""
4419,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""what types of experimental architecture that you find interesting... maybe digital fabrication and 3d printing?"""
4420,05b039bd-2e5a-4082-9e41-2e519a6d03c5,architect,"""We could definitely experiment with digital fabrication and 3d printing. Do you have any ideas about how we can use those technologies in the design?"""
4421,05b039bd-2e5a-4082-9e41-2e519a6d03c5,client,"""well if we intend to maintain ceratin parts of the existing building, then maybe the new elements can be elaborated with prefabricated or 3d printed processes """
